MCDA Galecopperbrug Alternatives;;;;;;
Stakeholder;Criteria;Complete Replacement;Convetional In-Situ Replacement;External Auxiliary Cables with Tower Extensions;Additional bridge;Criteria_Weight
Rijkswaterstaat;Costs 10;100;80;0;0.25
Rijkswaterstaat;Accesibility during renovation;0;50;80;100;0.25
Rijkswaterstaat;Accesibility after renovation;80;80;80;100;0.25
Rijkswaterstaat;Sustainability;50;80;100;0;0.25
Road Users;Safety;100;100;0;100;0.25
Road Users;Longer Travel Time;0;0;100;100;0.75
Local Residents;Noise Polution;50;100;50;50;0.40
Local Residents;Felt Hinderance;0;20;80;100;0.60
Environmental Organizations;Enviromental impact;40;90;100;0;0.67
Environmental Organizations;Nature reservation;20;100;80;0;0.33
Province;Impact on local transport network;0;50;100;100;0.67
Province;External Costs;0;50;100;100;0.33
Maritime Sector;Waterway Accesibility during Construction;80;80;100;70;0.25
Maritime Sector;Waterway Accesibility after Construction;100;100;100;80;0.75
Contractors;Project Difficulty;50;50;100;60;0.3
Contractors;Project Safety;75;50;75;100;0.3
Contractors;Project Profit;70;100;50;0;0.4
